Champ,"Objet / Onglet","Sens du flux","API Name (source)","Data Type (source)",Required,"Values (Picklist, Formula)","A interfacer",Synchro,"Cible existante","Field Label (cible)","API Name (cible)",Commentaires
"Date de création","Comptes - Codial vers Salesforce",,DATE_CREATION,Date/Time,true,,"❌ Non",,,"Date de création",CreatedDate,
"Source du compte","Comptes - Codial vers Salesforce",,,Picklist,false,,"❌ Non",,,,AccountSource,
"Niveau de formation","Comptes - Codial vers Salesforce","Codial => Salesforce",,"Picklist (Multi-Select)",false,LucemChoc®;LucemStone®,"✅ Oui",Création/Modification,"Champ existant","FP CLIENT",Niveau_de_formation__c,
"Codial Contact ExternalId","Contacts - Codial vers Salesforce","Codial => Salesforce",,,false,,"✅ Oui",Création/Modification,"Champ à créer",ID_CONTACT,Codial_Contact_External_Id,
"Adresse du projet (Ville)","Projet - Salesforce vers Codial","Salesforce => Codial",Adresse_du_projet__City__s,Text,false,,"✅ Oui",Création/Modification,"Champ existant",Ville,"VILLE CHANTIER",
"Adresse du projet (Rue)","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",ADRESSE,,false,,"✅ Oui",Création/Modification,"Champ existant",Adresse,Adresse_du_chantier__Street__s,
"Statut devis","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",ETATD,,false,,"✅ Oui",Création/Modification,"Champ existant",Statut,Statut_devis__c,"1 = Encours 2 = Sans suite 3 = Refusé 4 = Accepté"
"Générer opportunité ""Matières"" ?","Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,G_n_rer_opportunit_Mati_res__c,
"Motif de la perte","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",FA4_CRMMOTIFS_DEVIS,,false,,"❌ Non",Création/Modification,"Champ existant","Motif refus",Motif_de_la_perte__c,
"N°Devis CODIAL","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",NUMCOM,,false,,"✅ Oui",Création/Modification,"Champ existant","Document principal",N_Devis_CODIAL__c,
