Champ,"Objet / Onglet","Sens du flux","API Name (source)","Data Type (source)",Required,"Values (Picklist, Formula)","A interfacer",Synchro,"Cible existante","Field Label (cible)","API Name (cible)",Commentaires
"Source du compte","Comptes-Salesforce vers Codial",,AccountSource,Picklist,false,"Site Web AdLucem 🌐;Référence Client Existant 🗣️;Campagne Marketing Digital 📈;Prospection Directe 📞;Événement Professionnel 🎪;Réseaux Sociaux📱;Prescription/Influenceur ✨;Achat de Fichier 📊","❌ Non",,,,,
"Montant total du CA","Comptes-Salesforce vers Codial",,Montant_total_du_CA__c,"Roll-Up Summary",false,,"❌ Non",,,,,
"Litige sur commande ?","Comptes-Salesforce vers Codial",,Litige_sur_commande__c,Picklist,false,Oui;Non,"❌ Non",Création/Modification,"Champ à créer",,,"inutile lors de la création du prospect"
"Scoring compte","Comptes-Salesforce vers Codial",,Scoring_compte2__c,"Formula (Text)",false,,"❌ Non",Création/Modification,"Champ à créer",,,"inutile lors de la création du prospect"
"Statut du compte","Comptes-Salesforce vers Codial",,Statut_du_compte__c,Picklist,false,"Actif;En sommeil;Défaut de paiement;Partiellement bloqué;Bloqué","❌ Non",,,,,
"Type d'agrément","Comptes-Salesforce vers Codial",,Type_d_agrement__c,"Picklist (Multi-Select)",false,"Béton ciré;Terrazzo","❌ Non",,,,,
"Couverture SFAC AdLucem® Matières","Comptes-Salesforce vers Codial",,Couverture_SFAC_Matieres__c,Currency,false,,"❌ Non",,,,,
"Encours client AdLucem® Matières","Comptes-Salesforce vers Codial",,Encours_client_Matieres__c,Currency,false,,"❌ Non",,,,,
"État encours client AdLucem® Matières","Comptes-Salesforce vers Codial",,Etat_encours_client_Matieres__c,"Formula (Text)",false,,"❌ Non",,,,,
"Adresse expédition 3 (Latitude)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__Latitude__s,"Number (3, 15)",false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 3 (Précision du géocodage)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__GeocodeAccuracy__s,Picklist,false,Address;NearAddress;Block;Street;ExtendedZip;Zip;Neighborhood;City;County;State;Unknown,"❌ Non",,"Champ à créer",,,
"Date de création","Projet - Salesforce vers Codial","Salesforce => Codial",CreatedDate,Date/Time,true,,"✅ Oui",Création,"Champ existant","Date Création",DATE_CREATION,
"Date d'expiration","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Date_d_expiration__c,Date,false,,"❌ Non",,,,,
"Source d'origine","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",LeadSource,Picklist,false,,"❌ Non",Création/Modification,"Champ à créer",,,
Fermée,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",IsClosed,Checkbox,false,,"❌ Non",Modification,"Champ existant","Projet clos",INT_TERMINE,
"Date de création","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",CreatedDate,Date/Time,true,,"❌ Non",Création,"Champ existant","Date de création",DATE_CREATION,
Compléxité,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Complexite__c,Picklist,false,"🔺 Forte;🔹 Faible","❌ Non",,,,,
"Projet ferme ?","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Chantier_ferme__c,Picklist,false,"Projet;Chantier ferme","❌ Non",Création/Modification,,,,
"Statut devis","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Statut_devis__c,Picklist,false,"Devis en cours;Devis transformé;Devis perdu;Bon de commande;Bon de livraison;Facturé","❌ Non",,,,,
"Générer opportunité ""Matières"" ?","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",G_n_rer_opportunit_Mati_res__c,Picklist,false,Oui;Non,"❌ Non",,,,,
"Motif de la perte","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Motif_de_la_perte__c,Picklist,false,"Remporté par la concurrence;Problème de budget;Abandon du projet;Problème de prix;Autre","❌ Non",Création/Modification,"Champ à créer",,,
"N°Devis CODIAL","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",N_Devis_EBP__c,Text,false,,"❌ Non",,"Champ à créer","Document principal",NUMCOM,
"Projet associé","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Chantier_associe__c,"Lookup (Projet)",false,,"✅ Oui",Création/Modification,"Champ existant",,,
"Lien du devis CODIAL","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Lien_du_devis_EBP__c,URL,false,,"❌ Non",,,"A voir si on peut récupérer url ou pdf ?",,
"Conditions de facturation","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Conditions_de_facturation__c,"Long Text Area",false,,"❌ Non",,,,,
Commentaires,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Commentaires__c,"Long Text Area",false,,"❌ Non",Création/Modification,"Champ à créer",,,
"Date d'exécution","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",CloseDate,Date,true,,"❌ Non",Création/Modification,"Champ à créer",,DRELANCE,
"Zone d'application","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Zone_d_application__c,Picklist,false,"Sol;Mur;Les 2","❌ Non",Création/Modification,"Champ à créer",,,
"Type de création","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Type_de_creation__c,"Picklist (Multi-Select)",false,"Marches;Mobiliers;Conception / Réalisation;Plaques;Plateaux_Plans_de_travail;Plinthes;Sanitaires","❌ Non",Création/Modification,"Champ à créer",,,
"Apporteur d'affaires","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Apporteur_d_affaires__c,"Lookup (Compte)",false,,"❌ Non",,,Commercial,CODEREP,
"Adresse du projet (Rue)","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Adresse_du_chantier__Street__s,"Text Area",false,,"✅ Oui",Création/Modification,"Champ existant",Adresse,ADRESSE,
"Adresse du projet (Ville)","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Adresse_du_chantier__City__s,Text,false,,"✅ Oui",Création/Modification,"Champ existant",Ville,VILLE_CHANTIER,
"Adresse du projet (Code postal)","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Adresse_du_chantier__PostalCode__s,Text,false,,"✅ Oui",Création/Modification,"Champ existant","Code postal",COP_CHANTIER,
"Adresse du projet","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Adresse_du_chantier__c,Address,false,,"❌ Non",,,Adresse,ADRESSE1_CHANTIER,
"Statut du chantier","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Statut_du_chantier__c,Picklist,false,"🔎 Étude;🚧 En cours;✅ Réalisé","❌ Non",,,,,
"Type de Terrazzo","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Type_de_Terrazzo__c,"Picklist (Multi-Select)",false,LucemStone®;LucemStar®;LucemGlass®;LucemChoc®,"❌ Non",,,,,
Pôle,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Pole__c,Picklist,false,"Création;Matières;Les 2","❌ Non",,,,,
"Matières concernées","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Matieres_concernees__c,Picklist,false,"Béton ciré;Terrazzo;Les 2","❌ Non",,,,,
"ID d'enregistrement","Projet - Salesforce vers Codial","Salesforce => Codial",Id,id,true,,"✅ Oui",Création,"Champ à créer","Salesforce Projet External Id",Salesforce_Projet_External_Id,
"Nom du projet","Projet - Salesforce vers Codial","Salesforce => Codial",Name,Text,false,,"✅ Oui",Création/Modification,"Champ existant",Nom,NOM,
"Étape suivante","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",NextStep,Text,false,,"❌ Non",Création/Modification,"Champ à créer",,,
"Probabilité (%)","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Probability,Percent,false,,"❌ Non",,,,,
"Adresse expédition 3","Comptes-Salesforce vers Codial",,Adresse_expedition_3__c,Address,false,,"❌ Non",,"Champ à créer",,,
Région/Province,"Contacts - Salesforce vers Codial","Salesforce => Codial",MailingState,Text,false,,"❌ Non",Création/Modification,"Champ à créer",,,
"Niveau d'agrément","Comptes-Salesforce vers Codial",,Niveau_d_agrement__c,"Picklist (Multi-Select)",false,LucemChoc®;LucemStone®,"❌ Non",,"Champ à créer",,,
"Niveau de formation","Comptes-Salesforce vers Codial","Salesforce => Codial",Niveau_de_formation__c,"Picklist (Multi-Select)",false,LucemChoc®;LucemStone®,"✅ Oui",,"Champ existant",,"FP CLIENT",
"Système appliqué","Comptes-Salesforce vers Codial",,Systeme_applique__c,"Picklist (Multi-Select)",false,LucemChoc®;LucemStone®,"❌ Non",,"Champ à créer",,,
"Salesforce ExternalId","Contacts - Salesforce vers Codial","Salesforce => Codial",,,false,,"❌ Non",,,,,
"ID du contact","Contacts - Salesforce vers Codial","Salesforce => Codial",Id,id,true,,"✅ Oui",Création/Modification,"Champ à créer","Salesforce Contact External Id",Salesforce_Contact_External_Id,
"Codial Contact ExternalId","Contacts - Salesforce vers Codial","Salesforce => Codial",Codial_Contact_External_Id,,false,,"✅ Oui",Création/Modification,"Champ existant","Id contact",ID_CONTACT,
"ID du compte","Contacts - Salesforce vers Codial","Salesforce => Codial",AccountId,"Lookup (Compte)",false,,"✅ Oui",Création/Modification,"Champ existant",,CODE,
Nom,"Contacts - Salesforce vers Codial","Salesforce => Codial",LastName,Text,true,,"✅ Oui",Création/Modification,"Champ existant","Nom contact",NOM_CONTACT,
Prénom,"Contacts - Salesforce vers Codial","Salesforce => Codial",FirstName,Text,false,,"✅ Oui",Création/Modification,"Champ existant","Nom contact",NOM_CONTACT,
Civilité,"Contacts - Salesforce vers Codial","Salesforce => Codial",Salutation,Picklist,false,Mr.;Mme,"✅ Oui",Création/Modification,"Champ existant",Civilité,CIVILITE_CONTACT,
"Nom complet","Contacts - Salesforce vers Codial","Salesforce => Codial",Name,Text,true,,"✅ Oui",Création/Modification,"Champ existant","Nom contact",NOM_CONTACT,
Rue,"Contacts - Salesforce vers Codial","Salesforce => Codial",MailingStreet,"Text Area",false,,"❌ Non",Création/Modification,"Champ à créer",,,
Ville,"Contacts - Salesforce vers Codial","Salesforce => Codial",MailingCity,Text,false,,"❌ Non",Création/Modification,"Champ à créer",,,
"Code postal","Contacts - Salesforce vers Codial","Salesforce => Codial",MailingPostalCode,Text,false,,"❌ Non",Création/Modification,"Champ à créer",,,
Montant,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Amount,Currency,false,,"❌ Non",Création/Modification,"Champ existant",,TOTAL,
Pays,"Contacts - Salesforce vers Codial","Salesforce => Codial",MailingCountry,Text,false,,"❌ Non",Création/Modification,"Champ à créer",,,
"Téléphone (bureau)","Contacts - Salesforce vers Codial","Salesforce => Codial",Phone,Phone,false,,"✅ Oui",Création/Modification,"Champ existant",Téléphone,TEL_CONTACT,
"Télécopie (bureau)","Contacts - Salesforce vers Codial","Salesforce => Codial",Fax,Phone,false,,"✅ Oui",Création/Modification,"Champ existant",Fax,FAX_CONTACT,
"Téléphone mobile","Contacts - Salesforce vers Codial","Salesforce => Codial",MobilePhone,Phone,false,,"✅ Oui",Création/Modification,"Champ existant",Portable,PORT_CONTACT,
"Adresse e-mail","Contacts - Salesforce vers Codial","Salesforce => Codial",Email,Email,false,,"✅ Oui",Création/Modification,"Champ existant",Email,EMAIL_CONTACT,
Fonction,"Contacts - Salesforce vers Codial","Salesforce => Codial",Title,Text,false,,"✅ Oui",Création/Modification,"Champ existant",Fonction,FONCTION_CONTACT,
"Date de création","Contacts - Salesforce vers Codial","Salesforce => Codial",CreatedDate,Date/Time,true,,"✅ Oui",Création,"Champ existant","Date de création",DATE_CREATION,
"Devis Codial External Id","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Devis_Codial_External_Id,,false,,"✅ Oui",Création/Modification,"Champ existant","Identifiant du projet",IDCOD_PROJET,
"ID de devis adlucem®","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Id,id,true,,"✅ Oui",Création,"Champ à créer","Devis Salesforce External Id",Devis_Salesforce_External_Id,
"ID du compte","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",AccountId,"Lookup (Compte)",false,,"✅ Oui",Création/Modification,"Champ existant","Code client",CODE,
"Nom du devis adlucem®","Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Name,Text,true,,"✅ Oui",Création/Modification,"Champ existant",Nom,SUJET,
Description,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",Description,"Long Text Area",false,,"✅ Oui",Création/Modification,"Champ existant",Description,DESCRIPTION,
Étape,"Devis (Opportunités) - Salesforce vers Codial","Salesforce => Codial",StageName,Picklist,true,"Demande;Qualification;Bureau d'études;Étude (maitrise d'oeuvre);Devis;Suivi / Relance;Opportunité gagnée;Opportunité perdue","❌ Non",Création/Modification,"Champ à créer",,,
"Descriptif du projet","Projet - Codial vers Salesforce","Codial => Salesforce",DESCRIPTION,,false,,"✅ Oui",Création/Modification,"Champ existant",DESCRIPTION,Descriptif_du_projet__c,
